   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
 151  T 0   4.340e-02   0e+00  0.98  9.3e-02  6.1e-05  8.4e-02  4.7e-01
 152  T 0   4.336e-02   0e+00  0.98  1.0e-01  6.1e-05  8.7e-02  4.5e-01
 153  T 0   4.332e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  4.3e-01
 154  T 0   4.328e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  4.0e-01
 155  T 0   4.325e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  3.8e-01
 156  T 0   4.322e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  3.3e-01
 157  T 0   4.320e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  3.1e-01
 158  T 0   4.318e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  3.1e-01
 159  T 0   4.316e-02   0e+00  0.98  1.0e-01  6.2e-05  8.4e-02  3.0e-01
 160  T 0   4.313e-02   0e+00  0.98  1.0e-01  6.1e-05  7.7e-02  2.9e-01
 161  T 0   4.311e-02   0e+00  0.98  1.0e-01  6.1e-05  8.4e-02  2.7e-01
 162  T 0   4.309e-02   0e+00  0.98  9.3e-02  6.0e-05  8.9e-02  2.8e-01
 163  T 0   4.307e-02   0e+00  0.98  1.0e-01  6.0e-05  7.7e-02  2.7e-01
 164  T 0   4.305e-02   0e+00  0.98  1.0e-01  6.0e-05  8.4e-02  2.5e-01
 165  T 0   4.303e-02   0e+00  0.98  9.3e-02  6.0e-05  8.4e-02  2.5e-01
 166  T 0   4.301e-02   0e+00  0.98  1.0e-01  6.0e-05  7.3e-02  2.3e-01
 167  T 0   4.299e-02   0e+00  0.98  1.0e-01  6.0e-05  7.9e-02  2.2e-01
 168  T 0   4.298e-02   0e+00  0.98  8.7e-02  6.1e-05  7.7e-02  2.4e-01
 169  T 0   4.296e-02   0e+00  0.97  9.6e-02  6.1e-05  8.4e-02  2.4e-01
 170  T 0   4.294e-02   0e+00  0.97  9.3e-02  6.1e-05  8.4e-02  2.5e-01
 171  T 0   4.292e-02   0e+00  0.97  1.0e-01  6.1e-05  8.4e-02  2.4e-01
 172  T 0   4.290e-02   0e+00  0.97  9.3e-02  6.1e-05  7.7e-02  2.4e-01
 173  T 0   4.288e-02   0e+00  0.97  1.0e-01  6.1e-05  8.4e-02  2.5e-01
 174  T 0   4.286e-02   0e+00  0.97  9.3e-02  6.0e-05  7.7e-02  2.4e-01
 175  T 0   4.284e-02   0e+00  0.97  1.0e-01  6.0e-05  8.4e-02  2.3e-01
 176  T 0   4.281e-02   0e+00  0.97  9.3e-02  6.0e-05  7.3e-02  2.3e-01
 177  T 0   4.280e-02   0e+00  0.97  1.0e-01  6.0e-05  1.0e-01  2.4e-01
 178  T 0   4.278e-02   0e+00  0.96  8.4e-02  5.9e-05  8.4e-02  2.4e-01
 179  T 0   4.275e-02   0e+00  0.96  9.3e-02  5.9e-05  8.4e-02  2.4e-01
 180  T 0   4.273e-02   0e+00  0.96  1.0e-01  5.9e-05  8.0e-02  2.3e-01
 181  T 0   4.271e-02   0e+00  0.96  1.0e-01  5.9e-05  8.4e-02  2.1e-01
 182  T 0   4.269e-02   0e+00  0.96  9.3e-02  5.9e-05  7.7e-02  2.1e-01
 183  T 0   4.267e-02   0e+00  0.95  1.0e-01  5.9e-05  8.4e-02  2.1e-01
 184  T 0   4.265e-02   0e+00  0.95  9.3e-02  5.9e-05  8.4e-02  2.2e-01
 185  T 0   4.263e-02   0e+00  0.95  1.0e-01  5.9e-05  7.3e-02  2.1e-01
 186  T 0   4.261e-02   0e+00  0.94  1.0e-01  6.0e-05  5.8e-02  2.0e-01
 187  T 0   4.258e-02   0e+00  0.94  6.3e-02  5.9e-05  6.3e-02  2.2e-01
 188  T 0   4.256e-02   0e+00  0.94  7.0e-02  6.0e-05  7.0e-02  2.4e-01
 189  T 0   4.253e-02   0e+00  0.94  7.7e-02  6.0e-05  7.7e-02  2.6e-01
 190  T 0   4.250e-02   0e+00  0.94  8.4e-02  6.0e-05  8.4e-02  2.8e-01
 191  T 0   4.247e-02   0e+00  0.94  9.3e-02  6.0e-05  8.4e-02  3.0e-01
 192  T 0   4.244e-02   0e+00  0.94  1.0e-01  6.0e-05  8.8e-02  2.9e-01
 193  T 0   4.240e-02   0e+00  0.94  1.0e-01  6.0e-05  8.4e-02  2.8e-01
 194  T 0   4.238e-02   0e+00  0.94  1.0e-01  6.0e-05  7.7e-02  2.6e-01
